dátum;leves;főétel;köret
2021.01.01;korhelyleves;rántott hús;főtt krumpli
2021.01.02;karalábéleves;rántott hús;főtt krumpli
2021.01.03;korhelyleves;rántott csirkemell;krumplipüré
2021.01.04;;harasztos káposzta;
2021.01.05;;harasztos káposzta;
2021.01.06;tarhonyaleves;kelkáposzta főzelék;
2021.01.07;tarhonyaleves;halrudak;kukoricás rizs
2021.01.08;tojásleves;rakott kelkáposzta;
2021.01.09;tojásleves;rakott kelkáposzta;
2021.01.10;gulyásleves;aranygaluska vaníliasodóval;
2021.01.11;gulyásleves;aranygaluska vaníliasodóval;
2021.01.12;;rakott kelkáposzta;
2021.01.13;sárgaborsókrémleves;;kakaós csiga
2021.01.14;hegyigulyás;halrudak;zöldborsós orsó tészta
2021.01.15;hegyigulyás;;
2021.01.16;babgulyás;;fánk
2021.01.17;babgulyás;;fánk
2021.01.18;;provanszi csirke;tésztaragu
2021.01.19;;mákosguba vaníliasodóval;
2021.01.20;;provanszi csirke;tésztaragu
2021.01.21;borsóleves;hurka;
2021.01.22;borsóleves;hentes tokány;rizs
2021.01.23;;tejszínes gombás brokkolis csirkemell;penne
2021.01.24;;tejszínes gombás brokkolis csirkemell;penne
2021.01.25;;;
2021.01.26;krumplileves;;tepertős pogácsa
2021.01.27;;;
2021.01.28;krumplileves;lencsefőzelék;
2021.01.29;;lencsefőzelék;
2021.01.30;halászlé;túrós tészta;
2021.01.31;halászlé;túrós tészta;
2021.02.01;karalábéleves;csirkemell roston;bulgur
2021.02.02;halászlé;ponty roston;
2021.02.03;gombaleves;lángos;
2021.02.04;gombaleves;rántott sajt;kukoricás rizs
2021.02.05;;resztelt máj;főtt krumpli
2021.02.06;zellerkrémleves;rakott krumpli;
2021.02.07;zellerkrémleves;rakott krumpli;
2021.02.08;;rakott krumpli;
2021.02.09;zellerkrémleves;tyúkpörkölt;szarvacska
2021.02.10;;tyúkpörkölt;szarvacska
2021.02.11;;hurka kolbász;
2021.02.12;zöldséges bableves;;pogácsa
2021.02.13;zöldséges bableves;;pogácsa
2021.02.14;csirkeraguleves;borsópörkölt;
2021.02.15;csirkeraguleves;borsópörkölt;
2021.02.16;;paradicsomos húsgombóc;
2021.02.17;;töltött karaj;bulgur
2021.02.18;;tepsis tészta;
2021.02.19;;rántott máj;tört krumpli
2021.02.20;;harcsapaprikás;túrós csusza
2021.02.21;;sertésszűz budapest módra;rizs
2021.02.22;;sertésszűz budapest módra;rizs
2021.02.23;;milánói;spagetti
2021.02.24;;csilis bab ;
2021.02.25;;halrudak;kukoricás bulgur
2021.02.26;;burek;
2021.02.27;borsóleves;rakott káposzta;
2021.02.28;borsóleves;rántott hús;krumplipüré
2021.03.01;borsóleves;rakott káposzta;
2021.03.02;;rántott hús;krumplipüré
2021.03.03;;túrós tészta;
2021.03.04;;zöldséges fetás csirke;
2021.03.05;;zöldséges fetás csirke;
2021.03.06;gulyásleves;;fánk
2021.03.07;gulyásleves;;fánk
2021.03.08;;dübarry sertésszelet;krumplipüré
2021.03.09;;dübarry sertésszelet;krumplipüré
2021.03.10;;harasztos káposzta;
2021.03.11;;harasztos káposzta;
2021.03.12;;krumplifőzelék;
2021.03.13;halászlé;túrós tészta;
2021.03.14;brokkolikrémleves;szarvas pite;
2021.03.15;brokkolikrémleves;szarvas pite;
2021.03.16;;kenyérlángos;
2021.03.17;;lazac roston;zöldségsaláta
2021.03.18;;kenyérlángos;
2021.03.19;babgulyás;;tepertős pogácsa
2021.03.20;babgulyás;;tepertős pogácsa
2021.03.21;;töltött karaj;hagymás tört krumpli
2021.03.22;babgulyás;;
2021.03.23;;tökfőzelék;
2021.03.24;;zöldbabfőzelék;
2021.03.25;;lazac roston;brokkolis bulgur
2021.03.26;;hurka kolbász;
2021.03.27;zellerkrémleves;csirkemell roston;rizs
2021.03.28;;csirkemell roston;zöldségsaláta
2021.03.29;zellerkrémleves;csirkemell roston;zöldségsaláta
2021.03.30;tojásleves;krumplis tészta;
2021.03.31;;lencsefőzelék;
2021.04.01;;harasztos káposzta;
2021.04.02;;brassói;sült krumpli
2021.04.03;;;
2021.04.04;;stefánia vagdalt;krumplipüré
2021.04.05;;stefánia vagdalt;krumplipüré
2021.04.06;;brassói;sült krumpli
2021.04.07;;tökfőzelék;
2021.04.08;gyümölcsleves;mákos tészta;
2021.04.09;gyümölcsleves;grízes tészta;
2021.04.10;tarhonyaleves;macok;
2021.04.11;zöldségleves;tejszínes gombás brokkolis csirkemell;penne
2021.04.12;zöldségleves;tejszínes gombás brokkolis csirkemell;penne
2021.04.13;zöldségleves;tejszínes gombás brokkolis csirkemell;penne
2021.04.14;;sült karaj;bulgur
2021.04.15;;hurka kolbász;
2021.04.16;zöldséges bableves;lángos;
2021.04.17;;sült karaj párolt káposztával;főtt krumpli
2021.04.18;;bakonyi sertésszelet;nokedli
2021.04.19;lebbencsleves;sült karaj párolt káposztával;főtt krumpli
2021.04.20;;bakonyi sertésszelet;nokedli
2021.04.21;;bakonyi sertésszelet;nokedli
2021.04.22;;lecsó;tarhonya
2021.04.23;;paprikás krumplis nokedli;
2021.04.24;sárgaborsókrémleves;;kakaós csiga
2021.04.25;zöldségleves;milánói;spagetti
2021.04.26;zöldségleves;milánói;spagetti
2021.04.27;;milánói;spagetti
2021.04.28;;rántott máj;krokett
